Frame 0, Person 0:
  Keypoint 5: (x=559.71, y=494.36, confidence=1.00)
  Keypoint 6: (x=599.93, y=421.21, confidence=1.00)
  Keypoint 7: (x=727.68, y=554.22, confidence=1.00)
  Keypoint 8: (x=793.64, y=489.13, confidence=1.00)
  Keypoint 9: (x=813.28, y=389.24, confidence=1.00)
Frame 8, Person 1:
  Keypoint 0: (x=302.34, y=483.88, confidence=1.00)
  Keypoint 1: (x=304.07, y=571.86, confidence=1.00)
  Keypoint 2: (x=262.62, y=540.05, confidence=1.00)
  Keypoint 3: (x=347.11, y=533.46, confidence=1.00)
  Keypoint 4: (x=243.26, y=543.54, confidence=1.00)
  Keypoint 5: (x=237.60, y=488.98, confidence=1.00)
  Keypoint 6: (x=303.07, y=454.70, confidence=1.00)
  Keypoint 7: (x=387.69, y=550.97, confidence=1.00)
  Keypoint 8: (x=431.60, y=499.32, confidence=1.00)
  Keypoint 9: (x=373.31, y=478.23, confidence=0.99)
Frame 8, Person 2:
  Keypoint 0: (x=1068.95, y=459.13, confidence=1.00)
  Keypoint 1: (x=1061.65, y=560.73, confidence=1.00)
  Keypoint 2: (x=1023.95, y=511.20, confidence=1.00)
  Keypoint 3: (x=1109.15, y=513.05, confidence=1.00)
  Keypoint 4: (x=961.27, y=533.58, confidence=1.00)
  Keypoint 5: (x=890.84, y=525.29, confidence=1.00)
  Keypoint 6: (x=956.00, y=440.25, confidence=1.00)
  Keypoint 7: (x=1115.90, y=532.06, confidence=0.99)
  Keypoint 8: (x=1121.38, y=493.75, confidence=0.97)
  Keypoint 9: (x=1101.53, y=447.51, confidence=0.99)
Frame 9, Person 0:
  Keypoint 0: (x=669.77, y=464.92, confidence=1.00)
  Keypoint 1: (x=649.86, y=558.98, confidence=1.00)
  Keypoint 2: (x=612.63, y=511.25, confidence=1.00)
  Keypoint 3: (x=698.15, y=532.58, confidence=1.00)
  Keypoint 4: (x=581.32, y=536.90, confidence=1.00)
  Keypoint 5: (x=559.57, y=494.05, confidence=1.00)
  Keypoint 6: (x=600.42, y=420.35, confidence=1.00)
  Keypoint 7: (x=727.17, y=554.49, confidence=1.00)
  Keypoint 8: (x=793.44, y=489.33, confidence=1.00)
  Keypoint 9: (x=813.27, y=389.33, confidence=1.00)
