Frame 0, Person 0:
Frame 3, Person 3:
  Keypoint 0: (x=1231.33, y=242.86, confidence=0.98)
  Keypoint 1: (x=1185.01, y=282.50, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.78, confidence=0.97)
  Keypoint 3: (x=1222.07, y=326.89, confidence=0.96)
  Keypoint 4: (x=1250.86, y=339.71, confidence=0.97)
  Keypoint 5: (x=1127.81, y=322.80, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 4, Person 0:
  Keypoint 0: (x=178.14, y=273.47, confidence=1.00)
  Keypoint 1: (x=150.82, y=333.83, confidence=1.00)
  Keypoint 2: (x=225.43, y=319.49, confidence=1.00)
  Keypoint 3: (x=192.45, y=370.48, confidence=1.00)
  Keypoint 4: (x=266.57, y=377.46, confidence=1.00)
  Keypoint 5: (x=145.13, y=381.72, confidence=1.00)
  Keypoint 6: (x=113.45, y=471.47, confidence=1.00)
  Keypoint 7: (x=333.93, y=428.51, confidence=0.99)
  Keypoint 8: (x=330.44, y=311.73, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 4, Person 1:
  Keypoint 0: (x=884.40, y=265.34, confidence=1.00)
  Keypoint 1: (x=843.77, y=320.16, confidence=1.00)
  Keypoint 2: (x=925.42, y=324.78, confidence=1.00)
  Keypoint 3: (x=882.51, y=360.68, confidence=1.00)
  Keypoint 4: (x=928.57, y=365.35, confidence=0.99)
  Keypoint 5: (x=811.73, y=362.04, confidence=1.00)
  Keypoint 6: (x=767.24, y=370.42, confidence=0.98)
  Keypoint 7: (x=959.77, y=391.76, confidence=0.98)
  Keypoint 8: (x=963.77, y=304.64, confidence=0.98)
  Keypoint 9: (x=821.47, y=313.27, confidence=1.00)
Frame 4, Person 2:
  Keypoint 0: (x=589.39, y=274.09, confidence=1.00)
  Keypoint 1: (x=555.91, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.67, y=319.77, confidence=1.00)
  Keypoint 3: (x=593.35, y=372.42, confidence=1.00)
  Keypoint 4: (x=654.73, y=381.53, confidence=1.00)
  Keypoint 5: (x=514.97, y=381.61, confidence=1.00)
  Keypoint 6: (x=436.67, y=389.72, confidence=1.00)
  Keypoint 7: (x=708.20, y=360.78, confidence=0.99)
  Keypoint 8: (x=677.22, y=275.21, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 4, Person 3:
  Keypoint 0: (x=1231.32, y=242.87, confidence=0.98)
  Keypoint 1: (x=1185.00, y=282.50, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.78, confidence=0.97)
  Keypoint 3: (x=1222.07, y=326.90, confidence=0.96)
  Keypoint 4: (x=1250.85, y=339.71, confidence=0.97)
  Keypoint 5: (x=1127.81, y=322.80, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 5, Person 0:
  Keypoint 0: (x=178.13, y=273.45, confidence=1.00)
  Keypoint 1: (x=150.75, y=333.78, confidence=1.00)
  Keypoint 2: (x=225.38, y=319.49, confidence=1.00)
  Keypoint 3: (x=192.38, y=370.48, confidence=1.00)
  Keypoint 4: (x=266.53, y=377.46, confidence=1.00)
  Keypoint 5: (x=145.09, y=381.75, confidence=1.00)
  Keypoint 6: (x=113.51, y=471.49, confidence=1.00)
  Keypoint 7: (x=333.94, y=428.51, confidence=0.99)
  Keypoint 8: (x=330.41, y=311.71, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 5, Person 1:
  Keypoint 0: (x=884.40, y=265.34, confidence=1.00)
  Keypoint 1: (x=843.78, y=320.19, confidence=1.00)
  Keypoint 2: (x=925.42, y=324.79, confidence=1.00)
  Keypoint 3: (x=882.52, y=360.66, confidence=1.00)
  Keypoint 4: (x=928.58, y=365.34, confidence=0.99)
  Keypoint 5: (x=811.73, y=362.01, confidence=1.00)
  Keypoint 6: (x=767.24, y=370.45, confidence=0.98)
  Keypoint 7: (x=959.77, y=391.77, confidence=0.98)
  Keypoint 8: (x=963.77, y=304.66, confidence=0.98)
  Keypoint 9: (x=821.51, y=313.26, confidence=1.00)
Frame 5, Person 2:
  Keypoint 0: (x=589.39, y=274.11, confidence=1.00)
  Keypoint 1: (x=555.91, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.66, y=319.78, confidence=1.00)
  Keypoint 3: (x=593.32, y=372.44, confidence=1.00)
  Keypoint 4: (x=654.72, y=381.58, confidence=1.00)
  Keypoint 5: (x=514.91, y=381.61, confidence=1.00)
