Frame,Person1_head,Person1_neck,Person1_left_ear,Person1_right_ear,Person1_left_shoulder,Person1_left_elbow,Person1_left_hand,Person1_right_shoulder,Person1_right_elbow,Person1_right_hand,Person2_head,Person2_neck,Person2_left_ear,Person2_right_ear,Person2_left_shoulder,Person2_left_elbow,Person2_left_hand,Person2_right_shoulder,Person2_right_elbow,Person2_right_hand,Person3_head,Person3_neck,Person3_left_ear,Person3_right_ear,Person3_left_shoulder,Person3_left_elbow,Person3_left_hand,Person3_right_shoulder,Person3_right_elbow,Person3_right_hand,Person4_head,Person4_neck,Person4_left_ear,Person4_right_ear,Person4_left_shoulder,Person4_left_elbow,Person4_left_hand,Person4_right_shoulder,Person4_right_elbow,Person4_right_hand
454,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.40,337.65,1.00)","(608.88,389.45,1.00)","(557.22,377.22,1.00)","(624.14,315.06,1.00)","(513.72,405.82,1.00)","(462.74,425.57,1.00)","(466.02,339.04,1.00)","(662.72,363.68,0.99)","(691.21,330.97,1.00)","(685.08,238.49,1.00)","(944.65,317.60,1.00)","(928.18,371.86,1.00)","(903.43,316.26,1.00)","(970.29,331.46,1.00)","(858.89,381.92,1.00)","(814.86,316.82,1.00)","(857.03,295.65,1.00)","(981.20,380.18,0.99)","(1003.10,339.96,1.00)","(981.37,270.89,1.00)","(1227.62,310.54,1.00)","(1219.57,369.26,1.00)","(1185.34,333.29,1.00)","(1251.49,326.67,1.00)","(1149.30,362.35,1.00)","(1106.07,339.09,1.00)","(1148.94,300.12,0.67)","(1256.37,352.50,0.99)","(1253.80,316.38,0.98)","(1243.47,258.42,1.00)"
455,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.44,337.83,1.00)","(608.41,390.09,1.00)","(557.24,377.20,1.00)","(624.89,317.18,1.00)","(514.11,405.84,1.00)","(462.76,425.45,1.00)","(466.04,339.04,1.00)","(662.54,364.05,0.99)","(690.96,330.12,1.00)","(683.89,237.46,1.00)","(945.20,316.92,1.00)","(928.63,371.32,1.00)","(903.64,315.42,1.00)","(971.06,330.53,1.00)","(858.93,381.42,1.00)","(814.72,315.76,1.00)","(857.80,294.72,1.00)","(981.78,380.44,0.99)","(1003.32,339.84,1.00)","(981.73,270.84,1.00)","(1227.67,310.65,1.00)","(1219.85,369.30,1.00)","(1185.40,333.36,1.00)","(1251.57,326.68,1.00)","(1149.30,362.59,1.00)","(1106.11,338.99,1.00)","(1149.12,300.21,0.68)","(1256.47,352.50,0.99)","(1253.76,316.33,0.98)","(1243.51,258.47,1.00)"
456,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.77,338.40,1.00)","(607.98,389.96,1.00)","(556.81,376.97,1.00)","(624.85,317.38,1.00)","(513.67,406.11,1.00)","(462.60,425.44,1.00)","(466.38,338.82,1.00)","(662.61,364.08,0.99)","(690.91,330.22,1.00)","(684.29,237.76,1.00)","(945.58,317.32,1.00)","(928.80,371.09,1.00)","(904.11,315.57,1.00)","(971.09,330.34,1.00)","(859.12,381.75,1.00)","(814.84,316.38,1.00)","(857.04,295.61,1.00)","(981.85,380.29,0.99)","(1003.58,340.33,1.00)","(981.99,270.76,1.00)","(1227.70,310.61,1.00)","(1219.84,369.30,1.00)","(1185.39,333.45,1.00)","(1251.58,326.55,1.00)","(1149.14,362.70,1.00)","(1106.28,339.25,1.00)","(1149.12,300.33,0.67)","(1256.52,352.48,0.99)","(1253.82,316.33,0.98)","(1243.59,258.46,1.00)"
457,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.94,338.49,1.00)","(608.22,390.14,1.00)","(557.21,377.29,1.00)","(625.04,317.45,1.00)","(513.75,406.14,1.00)","(462.59,425.42,1.00)","(466.42,338.86,1.00)","(662.69,364.14,0.99)","(690.95,330.29,1.00)","(684.12,237.58,1.00)","(945.41,317.15,1.00)","(929.06,371.09,1.00)","(903.70,315.73,1.00)","(971.29,330.07,1.00)","(859.16,381.66,1.00)","(814.51,315.96,1.00)","(857.87,295.15,1.00)","(982.17,380.09,0.99)","(1003.42,339.77,1.00)","(981.74,270.71,1.00)","(1227.62,310.55,1.00)","(1219.91,369.25,1.00)","(1185.41,333.27,1.00)","(1251.56,326.64,1.00)","(1149.16,362.62,1.00)","(1106.20,339.13,1.00)","(1149.16,300.38,0.68)","(1256.50,352.52,0.99)","(1253.76,316.19,0.98)","(1243.52,258.46,1.00)"
458,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.26,335.42,1.00)","(609.25,390.87,1.00)","(556.27,376.81,1.00)","(627.46,319.34,1.00)","(514.35,403.31,1.00)","(462.61,422.01,0.99)","(465.73,337.18,0.98)","(660.87,365.27,0.99)","(689.13,334.08,1.00)","(684.41,238.86,1.00)","(949.29,317.28,1.00)","(936.15,369.13,1.00)","(904.11,321.38,1.00)","(974.65,326.33,1.00)","(858.85,379.10,1.00)","(816.94,321.45,1.00)","(864.84,293.31,0.98)","(985.84,372.71,0.99)","(1002.70,337.49,1.00)","(977.42,267.90,1.00)","(1227.95,312.25,1.00)","(1218.76,367.82,1.00)","(1185.25,332.89,1.00)","(1251.21,326.84,1.00)","(1148.64,362.54,1.00)","(1107.17,337.71,1.00)","(1151.03,300.01,0.75)","(1256.22,353.32,0.99)","(1254.12,317.80,0.98)","(1244.54,258.92,1.00)"
459,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.52,336.14,1.00)","(609.64,390.77,1.00)","(556.54,376.96,1.00)","(627.69,319.42,1.00)","(514.81,403.23,1.00)","(462.81,421.96,0.99)","(465.61,337.55,0.98)","(660.92,365.06,0.99)","(689.26,334.31,1.00)","(683.77,238.29,1.00)","(948.88,316.74,1.00)","(935.43,369.40,1.00)","(903.82,320.97,1.00)","(974.51,326.50,1.00)","(858.68,378.76,1.00)","(816.70,320.42,1.00)","(865.39,292.64,0.97)","(985.81,373.38,0.99)","(1002.59,337.03,1.00)","(977.50,267.86,1.00)","(1227.76,311.35,1.00)","(1217.85,367.97,1.00)","(1185.02,332.44,1.00)","(1251.15,326.98,1.00)","(1149.87,361.43,1.00)","(1107.30,338.41,1.00)","(1151.14,299.63,0.72)","(1255.89,353.36,0.99)","(1254.50,317.96,0.99)","(1244.52,258.88,1.00)"
460,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.29,335.62,1.00)","(609.73,390.73,1.00)","(556.66,377.12,1.00)","(627.34,319.08,1.00)","(514.92,403.12,1.00)","(462.81,422.33,0.99)","(465.41,337.39,0.98)","(660.90,364.98,0.99)","(689.14,334.08,1.00)","(684.42,238.97,1.00)","(949.08,316.70,1.00)","(936.03,369.43,1.00)","(903.74,321.43,1.00)","(974.75,326.04,1.00)","(858.61,378.70,1.00)","(816.54,320.71,1.00)","(865.41,292.85,0.97)","(986.02,372.98,0.99)","(1002.61,337.15,1.00)","(977.66,267.82,1.00)","(1227.72,311.39,1.00)","(1218.16,367.95,1.00)","(1185.12,332.47,1.00)","(1251.12,326.98,1.00)","(1149.63,361.37,1.00)","(1107.39,338.23,1.00)","(1151.07,299.79,0.73)","(1255.90,353.36,0.99)","(1254.42,317.88,0.99)","(1244.55,258.99,1.00)"
461,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(594.21,335.34,1.00)","(606.58,391.92,1.00)","(555.57,374.94,1.00)","(627.40,324.87,1.00)","(515.18,402.74,1.00)","(463.57,422.52,1.00)","(466.49,340.73,1.00)","(661.81,367.67,0.99)","(689.57,333.90,1.00)","(687.08,242.63,1.00)","(947.86,316.61,1.00)","(933.71,370.22,1.00)","(903.87,316.12,1.00)","(974.84,326.84,1.00)","(859.32,378.72,1.00)","(812.46,313.69,1.00)","(861.02,292.46,0.99)","(985.43,376.95,0.99)","(1003.08,336.40,1.00)","(980.48,271.69,1.00)","(1227.18,311.26,1.00)","(1219.37,366.17,1.00)","(1185.32,332.14,1.00)","(1250.36,324.96,1.00)","(1148.40,362.94,1.00)","(1107.14,337.37,1.00)","(1151.83,300.51,0.78)","(1255.60,353.26,0.99)","(1254.03,317.81,0.99)","(1244.40,259.10,1.00)"
462,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(594.50,335.38,1.00)","(606.98,391.60,1.00)","(556.03,375.34,1.00)","(627.21,323.74,1.00)","(515.17,402.62,1.00)","(463.54,422.11,1.00)","(466.51,340.61,1.00)","(662.04,367.62,0.99)","(689.65,333.70,1.00)","(687.70,242.75,1.00)","(949.25,315.63,1.00)","(935.12,370.08,1.00)","(904.05,320.77,1.00)","(975.05,326.66,1.00)","(857.54,377.68,1.00)","(815.96,318.03,1.00)","(866.49,291.98,0.95)","(986.21,374.59,0.99)","(1002.09,336.14,0.99)","(978.35,269.21,1.00)","(1227.09,310.92,1.00)","(1219.08,366.36,1.00)","(1185.22,331.98,1.00)","(1250.29,325.02,1.00)","(1148.19,362.72,1.00)","(1107.22,337.19,1.00)","(1151.76,300.19,0.79)","(1255.55,353.40,0.99)","(1254.07,317.70,0.99)","(1244.52,259.05,1.00)"
463,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(594.09,335.03,1.00)","(605.98,392.11,1.00)","(555.14,374.51,1.00)","(627.44,325.34,1.00)","(514.91,402.68,1.00)","(463.57,422.11,1.00)","(466.60,341.07,1.00)","(661.69,368.08,0.99)","(689.53,334.25,1.00)","(687.30,242.88,1.00)","(947.99,316.56,1.00)","(934.35,370.26,1.00)","(904.08,316.40,1.00)","(974.96,326.45,1.00)","(859.64,379.33,1.00)","(812.13,313.68,1.00)","(861.15,292.40,0.99)","(985.84,376.75,0.99)","(1003.11,335.88,1.00)","(980.23,271.74,1.00)","(1227.19,311.21,1.00)","(1219.49,366.24,1.00)","(1185.32,332.02,1.00)","(1250.40,324.87,1.00)","(1147.81,363.22,1.00)","(1107.14,337.32,1.00)","(1151.84,300.75,0.77)","(1255.63,353.62,0.99)","(1253.93,317.86,0.99)","(1244.45,259.06,1.00)"
464,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.09,333.88,1.00)","(607.31,391.78,1.00)","(556.74,374.60,1.00)","(628.64,324.80,1.00)","(515.67,403.05,1.00)","(463.53,422.56,1.00)","(466.21,341.25,1.00)","(662.18,367.46,0.99)","(689.68,333.33,1.00)","(686.76,242.55,1.00)","(949.47,316.23,1.00)","(935.50,370.73,1.00)","(904.62,321.56,1.00)","(975.16,327.30,1.00)","(857.88,378.13,1.00)","(815.79,317.06,1.00)","(866.94,291.31,0.95)","(986.33,375.24,0.99)","(1001.85,335.15,0.99)","(978.40,269.45,1.00)","(1227.21,312.11,1.00)","(1219.76,366.41,1.00)","(1185.26,332.22,1.00)","(1250.27,324.67,1.00)","(1146.67,364.10,1.00)","(1106.72,336.79,1.00)","(1151.92,300.55,0.83)","(1255.97,354.20,0.99)","(1253.87,317.40,0.99)","(1244.19,258.75,1.00)"
465,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(594.73,333.62,1.00)","(607.08,391.83,1.00)","(556.52,374.48,1.00)","(628.53,325.18,1.00)","(515.45,403.25,1.00)","(463.62,422.70,1.00)","(466.21,341.63,1.00)","(662.18,367.53,0.99)","(689.83,333.16,1.00)","(686.79,242.61,1.00)","(948.51,317.87,1.00)","(934.79,371.00,1.00)","(904.31,317.32,1.00)","(975.35,327.16,1.00)","(859.78,379.68,1.00)","(811.97,312.78,1.00)","(861.92,292.00,0.99)","(985.99,377.23,0.99)","(1002.92,335.17,1.00)","(980.01,271.89,1.00)","(1227.28,311.84,1.00)","(1219.70,366.26,1.00)","(1185.21,332.07,1.00)","(1250.29,324.48,1.00)","(1146.53,364.09,1.00)","(1106.59,336.92,1.00)","(1151.87,300.69,0.81)","(1255.92,354.21,0.99)","(1253.90,317.58,0.99)","(1244.40,258.85,1.00)"
466,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(595.16,334.05,1.00)","(607.41,391.76,1.00)","(556.75,374.79,1.00)","(628.57,324.53,1.00)","(515.43,403.32,1.00)","(463.38,422.66,1.00)","(466.33,341.08,1.00)","(662.24,367.13,0.99)","(689.68,332.98,1.00)","(686.41,242.28,1.00)","(949.61,316.57,1.00)","(935.74,370.67,1.00)","(904.60,321.81,1.00)","(975.26,327.27,1.00)","(858.10,378.39,1.00)","(815.85,317.34,1.00)","(866.78,291.38,0.94)","(986.43,374.98,0.99)","(1001.85,335.02,0.99)","(978.19,269.44,1.00)","(1227.28,312.06,1.00)","(1219.86,366.40,1.00)","(1185.34,332.28,1.00)","(1250.32,324.58,1.00)","(1146.76,364.25,1.00)","(1106.74,337.03,1.00)","(1151.73,300.60,0.83)","(1255.97,354.08,0.99)","(1253.78,317.31,0.99)","(1244.11,258.65,1.00)"
467,"(291.21,643.72,1.00)","(257.34,706.84,0.56)","(260.80,609.99,0.94)","(315.55,693.65,0.98)","(0.00,0.00,0.12)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.22)","(0.00,0.00,0.02)","(0.00,0.00,0.15)","(594.77,332.82,1.00)","(607.80,391.28,1.00)","(557.34,374.86,1.00)","(628.49,324.19,1.00)","(515.86,402.83,1.00)","(463.78,423.03,1.00)","(466.19,341.68,1.00)","(661.98,367.35,0.99)","(689.79,333.36,1.00)","(686.49,242.58,1.00)","(949.86,316.92,1.00)","(936.22,370.68,1.00)","(904.75,322.13,1.00)","(975.34,326.83,1.00)","(857.83,378.24,1.00)","(815.09,317.65,1.00)","(866.38,291.36,0.95)","(986.39,374.43,0.99)","(1001.91,335.47,0.99)","(978.11,269.16,1.00)","(1227.34,312.02,1.00)","(1219.89,366.56,1.00)","(1185.29,332.55,1.00)","(1250.32,324.62,1.00)","(1147.01,364.24,1.00)","(1106.69,337.10,1.00)","(1151.85,300.58,0.80)","(1256.01,353.96,0.99)","(1253.81,317.37,0.99)","(1244.20,258.69,1.00)"
468,"(290.88,643.57,1.00)","(257.96,707.00,0.56)","(260.82,610.06,0.94)","(315.08,693.48,0.98)","(0.00,0.00,0.12)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.23)","(0.00,0.00,0.02)","(0.00,0.00,0.15)","(595.03,333.57,1.00)","(607.94,391.09,1.00)","(557.29,375.11,1.00)","(628.22,323.62,1.00)","(515.82,402.77,1.00)","(463.64,422.57,1.00)","(466.44,341.05,1.00)","(661.99,367.20,0.99)","(689.60,333.22,1.00)","(686.44,242.47,1.00)","(949.58,316.64,1.00)","(935.70,370.61,1.00)","(904.66,321.73,1.00)","(975.11,327.31,1.00)","(857.80,378.40,1.00)","(815.26,317.40,1.00)","(866.43,291.35,0.95)","(986.18,374.89,0.99)","(1001.78,335.54,0.99)","(978.19,269.37,1.00)","(1227.35,312.06,1.00)","(1219.85,366.60,1.00)","(1185.32,332.38,1.00)","(1250.38,324.83,1.00)","(1147.20,364.23,1.00)","(1106.65,337.04,1.00)","(1151.90,300.50,0.83)","(1255.99,354.03,0.99)","(1253.76,317.35,0.99)","(1244.11,258.60,1.00)"
469,"(291.23,643.68,1.00)","(257.48,706.85,0.56)","(260.83,609.96,0.94)","(315.57,693.55,0.98)","(0.00,0.00,0.12)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.22)","(0.00,0.00,0.02)","(0.00,0.00,0.15)","(594.82,333.00,1.00)","(607.81,391.34,1.00)","(557.32,374.93,1.00)","(628.47,324.21,1.00)","(515.82,402.93,1.00)","(463.81,422.95,1.00)","(466.39,341.47,1.00)","(662.03,367.38,0.99)","(689.79,333.35,1.00)","(686.47,242.57,1.00)","(949.88,316.87,1.00)","(936.28,370.67,1.00)","(904.68,322.15,1.00)","(975.41,326.79,1.00)","(857.80,378.21,1.00)","(815.10,317.77,1.00)","(866.43,291.51,0.95)","(986.46,374.36,0.99)","(1001.91,335.48,0.99)","(978.16,269.11,1.00)","(1227.32,311.82,1.00)","(1219.77,366.51,1.00)","(1185.25,332.39,1.00)","(1250.32,324.59,1.00)","(1147.02,364.18,1.00)","(1106.69,337.14,1.00)","(1151.83,300.58,0.80)","(1255.95,354.07,0.99)","(1253.85,317.54,0.99)","(1244.27,258.74,1.00)"
470,"(319.39,615.04,1.00)","(290.10,689.85,0.52)","(291.88,588.38,0.93)","(342.03,666.45,0.99)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.47)","(0.00,0.00,0.19)","(425.61,683.10,0.66)","(592.63,329.93,1.00)","(608.04,391.02,1.00)","(557.01,374.60,1.00)","(627.09,323.97,1.00)","(516.69,401.35,1.00)","(464.36,422.28,1.00)","(465.33,342.74,1.00)","(661.36,367.78,0.99)","(689.91,334.16,1.00)","(686.67,243.08,1.00)","(947.61,317.33,1.00)","(932.74,371.39,1.00)","(904.19,316.83,1.00)","(973.91,327.76,1.00)","(858.88,379.39,1.00)","(812.62,312.10,1.00)","(861.68,290.99,0.98)","(984.59,377.48,0.99)","(1002.98,335.68,1.00)","(979.61,271.83,1.00)","(1227.21,311.36,1.00)","(1219.76,367.03,1.00)","(1185.37,332.69,1.00)","(1250.40,324.62,1.00)","(1147.21,363.88,1.00)","(1107.14,337.12,1.00)","(1151.62,300.10,0.82)","(1256.04,354.03,0.99)","(1253.97,317.31,0.98)","(1243.94,258.80,1.00)"
471,"(319.68,615.02,1.00)","(289.88,689.63,0.53)","(291.85,588.31,0.93)","(342.55,666.48,0.99)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.47)","(0.00,0.00,0.18)","(425.68,683.63,0.65)","(592.53,328.87,1.00)","(607.99,391.41,1.00)","(557.26,374.30,1.00)","(627.72,324.44,1.00)","(517.22,401.20,1.00)","(464.61,422.75,1.00)","(465.10,343.44,1.00)","(661.39,367.88,0.99)","(690.13,334.21,1.00)","(686.59,243.21,1.00)","(947.70,316.72,1.00)","(932.72,371.37,1.00)","(904.05,316.82,1.00)","(974.04,327.01,1.00)","(859.02,379.38,1.00)","(812.58,312.85,1.00)","(861.44,291.27,0.99)","(984.61,377.52,0.99)","(1003.04,336.02,1.00)","(979.95,271.83,1.00)","(1227.21,311.11,1.00)","(1219.61,366.91,1.00)","(1185.34,332.75,1.00)","(1250.31,324.45,1.00)","(1147.43,363.62,1.00)","(1107.29,337.17,1.00)","(1151.52,300.02,0.78)","(1255.93,353.80,0.99)","(1254.04,317.48,0.99)","(1244.04,258.91,1.00)"
472,"(319.53,614.82,1.00)","(290.31,689.88,0.53)","(291.80,588.46,0.93)","(342.34,666.18,0.99)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(0.00,0.00,0.48)","(0.00,0.00,0.19)","(425.74,683.25,0.65)","(592.44,329.70,1.00)","(607.90,391.11,1.00)","(556.85,374.44,1.00)","(627.11,324.35,1.00)","(516.87,401.14,1.00)","(464.43,422.30,1.00)","(465.24,342.87,1.00)","(661.24,367.90,0.99)","(689.89,334.24,1.00)","(686.76,243.16,1.00)","(947.51,317.22,1.00)","(932.50,371.47,1.00)","(904.08,316.67,1.00)","(973.81,328.03,1.00)","(858.69,379.28,1.00)","(812.69,312.17,1.00)","(861.60,290.91,0.98)","(984.42,377.72,0.99)","(1002.92,335.82,1.00)","(979.55,271.92,1.00)","(1227.20,311.30,1.00)","(1219.72,367.02,1.00)","(1185.37,332.69,1.00)","(1250.39,324.63,1.00)","(1147.30,363.80,1.00)","(1107.19,337.14,1.00)","(1151.59,300.03,0.81)","(1256.01,353.98,0.99)","(1253.97,317.31,0.98)","(1243.93,258.80,1.00)"
473,"(348.46,570.75,1.00)","(328.30,666.44,0.97)","(309.70,567.09,0.99)","(377.64,621.05,1.00)","(274.79,636.31,0.78)","(0.00,0.00,0.02)","(0.00,0.00,0.01)","(416.58,673.75,0.87)","(0.00,0.00,0.40)","(458.46,667.11,0.98)","(593.73,329.36,1.00)","(607.84,390.55,1.00)","(557.79,374.06,1.00)","(627.77,323.48,1.00)","(517.66,401.83,1.00)","(463.89,424.73,1.00)","(464.91,342.96,1.00)","(660.87,367.14,0.99)","(689.53,333.88,1.00)","(686.28,243.01,1.00)","(947.73,317.79,1.00)","(933.31,371.45,1.00)","(903.74,317.73,1.00)","(973.92,326.51,1.00)","(858.97,379.54,1.00)","(811.98,313.50,1.00)","(859.81,291.64,0.99)","(984.77,377.14,0.99)","(1003.52,337.36,1.00)","(979.91,271.82,1.00)","(1227.44,310.76,1.00)","(1219.58,367.12,1.00)","(1185.48,332.66,1.00)","(1250.53,324.46,1.00)","(1147.69,363.60,1.00)","(1107.62,337.36,1.00)","(1151.70,300.08,0.75)","(1256.03,354.25,0.99)","(1254.15,317.90,0.99)","(1244.15,258.95,1.00)"
474,"(347.94,571.17,1.00)","(327.50,666.89,0.96)","(309.08,566.45,0.99)","(377.13,621.19,1.00)","(274.14,636.76,0.74)","(0.00,0.00,0.02)","(0.00,0.00,0.01)","(416.22,674.35,0.88)","(0.00,0.00,0.42)","(458.60,667.02,0.98)","(593.60,330.14,1.00)","(607.65,390.23,1.00)","(557.38,374.35,1.00)","(627.09,322.87,1.00)","(516.96,402.03,1.00)","(463.69,424.10,1.00)","(465.34,342.30,1.00)","(661.00,366.91,0.99)","(689.54,333.79,1.00)","(686.49,242.96,1.00)","(947.68,317.90,1.00)","(933.19,371.31,1.00)","(903.90,317.70,1.00)","(973.73,326.58,1.00)","(858.76,379.25,1.00)","(811.77,313.08,1.00)","(859.68,291.57,0.99)","(984.80,376.90,0.99)","(1003.40,336.98,1.00)","(979.90,271.82,1.00)","(1227.30,311.09,1.00)","(1219.73,367.21,1.00)","(1185.44,332.71,1.00)","(1250.55,324.54,1.00)","(1147.53,363.86,1.00)","(1107.52,337.39,1.00)","(1151.92,300.26,0.79)","(1256.16,354.36,0.99)","(1254.11,317.60,0.98)","(1243.92,258.81,1.00)"
475,"(348.29,570.96,1.00)","(327.91,666.59,0.97)","(309.40,567.07,0.99)","(377.39,621.19,1.00)","(274.23,636.64,0.77)","(0.00,0.00,0.02)","(0.00,0.00,0.01)","(416.15,673.86,0.87)","(0.00,0.00,0.41)","(458.35,667.00,0.98)","(593.70,329.35,1.00)","(607.85,390.41,1.00)","(557.83,374.08,1.00)","(627.64,323.28,1.00)","(517.65,401.67,1.00)","(463.91,424.66,1.00)","(464.97,342.80,1.00)","(660.80,367.09,0.99)","(689.49,333.88,1.00)","(686.27,242.94,1.00)","(947.73,318.55,1.00)","(933.66,371.47,1.00)","(903.75,318.36,1.00)","(973.86,326.64,1.00)","(859.06,379.59,1.00)","(811.83,313.77,1.00)","(859.61,291.96,0.99)","(984.84,376.74,0.99)","(1003.60,337.53,1.00)","(979.76,271.90,1.00)","(1227.42,310.92,1.00)","(1219.73,367.09,1.00)","(1185.53,332.70,1.00)","(1250.51,324.46,1.00)","(1147.83,363.61,1.00)","(1107.53,337.30,1.00)","(1151.82,300.13,0.76)","(1256.07,354.13,0.99)","(1254.11,317.81,0.99)","(1244.09,258.96,1.00)"
476,"(363.96,544.25,1.00)","(350.34,644.45,0.99)","(329.43,545.71,1.00)","(394.38,596.10,1.00)","(297.78,620.33,0.96)","(0.00,0.00,0.46)","(0.00,0.00,0.01)","(428.00,659.05,0.97)","(478.14,706.99,0.90)","(493.82,647.26,1.00)","(594.29,331.56,1.00)","(607.47,390.82,1.00)","(557.16,374.38,1.00)","(627.14,322.71,1.00)","(515.76,403.22,1.00)","(463.27,423.34,1.00)","(466.00,341.26,1.00)","(661.75,367.17,0.99)","(689.77,333.56,1.00)","(687.18,242.77,1.00)","(949.12,316.12,1.00)","(935.18,370.83,1.00)","(903.58,322.32,1.00)","(974.45,325.65,1.00)","(856.52,377.27,1.00)","(815.40,318.31,1.00)","(865.07,291.52,0.95)","(985.78,373.98,0.99)","(1002.36,336.50,0.99)","(977.85,269.44,1.00)","(1227.48,310.61,1.00)","(1219.36,367.28,1.00)","(1185.49,332.52,1.00)","(1250.67,324.58,1.00)","(1147.53,363.59,1.00)","(1107.55,337.66,1.00)","(1151.74,300.11,0.78)","(1256.07,354.40,0.99)","(1254.10,317.78,0.98)","(1244.12,258.87,1.00)"
477,"(364.21,544.52,1.00)","(350.72,644.75,0.99)","(329.40,546.20,1.00)","(395.00,596.17,1.00)","(297.76,620.57,0.96)","(0.00,0.00,0.46)","(0.00,0.00,0.01)","(428.73,658.86,0.97)","(478.61,706.54,0.89)","(493.91,646.91,1.00)","(594.74,331.30,1.00)","(608.27,390.50,1.00)","(558.22,374.89,1.00)","(627.29,321.51,1.00)","(516.23,403.33,1.00)","(463.27,424.13,1.00)","(465.60,341.40,1.00)","(661.77,366.80,0.99)","(689.58,333.47,1.00)","(687.30,242.85,1.00)","(948.12,317.84,1.00)","(934.25,371.39,1.00)","(903.59,318.19,1.00)","(974.56,325.78,1.00)","(858.65,379.73,1.00)","(812.08,314.79,1.00)","(859.28,292.93,0.99)","(985.56,376.67,0.99)","(1003.41,336.95,1.00)","(980.01,271.76,1.00)","(1227.58,310.74,1.00)","(1219.42,366.87,1.00)","(1185.55,332.63,1.00)","(1250.54,324.39,1.00)","(1147.43,363.58,1.00)","(1107.33,337.49,1.00)","(1151.71,300.07,0.76)","(1256.07,354.30,0.99)","(1254.19,318.11,0.99)","(1244.45,258.99,1.00)"
