Frame 0, Person 0:
  Keypoint 5: (x=114.22, y=472.03, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.88, y=381.31, confidence=1.00)
  Keypoint 8: (x=332.05, y=427.43, confidence=1.00)
  Keypoint 9: (x=329.63, y=310.68, confidence=1.00)
Frame 6, Person 1:
  Keypoint 0: (x=883.47, y=267.02, confidence=1.00)
  Keypoint 1: (x=884.26, y=361.32, confidence=1.00)
  Keypoint 2: (x=843.48, y=317.99, confidence=1.00)
  Keypoint 3: (x=924.27, y=321.29, confidence=1.00)
  Keypoint 4: (x=813.83, y=361.45, confidence=1.00)
  Keypoint 5: (x=767.89, y=368.45, confidence=1.00)
  Keypoint 6: (x=822.76, y=312.69, confidence=1.00)
  Keypoint 7: (x=928.32, y=368.38, confidence=1.00)
  Keypoint 8: (x=956.64, y=391.41, confidence=0.99)
  Keypoint 9: (x=962.39, y=304.20, confidence=1.00)
Frame 6, Person 2:
  Keypoint 0: (x=589.83, y=274.39, confidence=1.00)
  Keypoint 1: (x=596.17, y=374.17, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.08, confidence=1.00)
  Keypoint 3: (x=634.76, y=318.59, confidence=1.00)
  Keypoint 4: (x=518.09, y=374.59, confidence=1.00)
  Keypoint 5: (x=437.19, y=394.59, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.43, y=380.27, confidence=1.00)
  Keypoint 8: (x=707.20, y=359.26, confidence=1.00)
  Keypoint 9: (x=673.80, y=269.85, confidence=1.00)
Frame 6, Person 3:
  Keypoint 0: (x=1227.74, y=241.66, confidence=0.99)
  Keypoint 1: (x=1223.14, y=325.44, confidence=1.00)
  Keypoint 2: (x=1182.99, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.68, y=296.22, confidence=0.99)
  Keypoint 4: (x=1132.66, y=320.64, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.79, y=339.84, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 7, Person 0:
  Keypoint 0: (x=181.34, y=273.98, confidence=1.00)
  Keypoint 1: (x=193.32, y=373.20, confidence=1.00)
  Keypoint 2: (x=151.23, y=337.56, confidence=1.00)
  Keypoint 3: (x=228.75, y=323.35, confidence=1.00)
  Keypoint 4: (x=147.68, y=384.77, confidence=1.00)
  Keypoint 5: (x=114.38, y=472.06, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.84, y=381.28, confidence=1.00)
  Keypoint 8: (x=331.98, y=427.53, confidence=1.00)
  Keypoint 9: (x=329.67, y=310.64, confidence=1.00)
Frame 7, Person 1:
  Keypoint 0: (x=883.47, y=267.04, confidence=1.00)
  Keypoint 1: (x=884.21, y=361.31, confidence=1.00)
  Keypoint 2: (x=843.46, y=317.99, confidence=1.00)
  Keypoint 3: (x=924.21, y=321.35, confidence=1.00)
  Keypoint 4: (x=813.97, y=361.41, confidence=1.00)
  Keypoint 5: (x=767.93, y=368.42, confidence=1.00)
  Keypoint 6: (x=822.83, y=312.59, confidence=1.00)
  Keypoint 7: (x=928.36, y=368.39, confidence=1.00)
  Keypoint 8: (x=956.69, y=391.35, confidence=0.99)
  Keypoint 9: (x=962.43, y=304.21, confidence=1.00)
Frame 7, Person 2:
  Keypoint 0: (x=589.77, y=274.49, confidence=1.00)
  Keypoint 1: (x=596.15, y=374.10, confidence=1.00)
  Keypoint 2: (x=557.16, y=330.24, confidence=1.00)
  Keypoint 3: (x=634.74, y=318.64, confidence=1.00)
  Keypoint 4: (x=518.05, y=374.74, confidence=1.00)
  Keypoint 5: (x=437.14, y=394.44, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.25, y=380.22, confidence=1.00)
  Keypoint 8: (x=707.23, y=359.46, confidence=1.00)
  Keypoint 9: (x=673.87, y=269.93, confidence=1.00)
Frame 7, Person 3:
  Keypoint 0: (x=1227.78, y=241.63, confidence=0.99)
  Keypoint 1: (x=1223.10, y=325.53, confidence=1.00)
  Keypoint 2: (x=1183.01, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.60, y=296.41, confidence=0.99)
  Keypoint 4: (x=1132.65, y=320.66, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.70, y=339.97, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 8, Person 0:
  Keypoint 0: (x=181.10, y=274.01, confidence=1.00)
  Keypoint 1: (x=193.36, y=373.02, confidence=1.00)
  Keypoint 2: (x=151.27, y=337.80, confidence=1.00)
  Keypoint 3: (x=228.72, y=323.24, confidence=1.00)
  Keypoint 4: (x=147.57, y=384.61, confidence=1.00)
  Keypoint 5: (x=114.12, y=472.24, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.86, y=381.28, confidence=1.00)
  Keypoint 8: (x=331.86, y=427.13, confidence=1.00)
  Keypoint 9: (x=329.56, y=310.67, confidence=1.00)
Frame 8, Person 1:
  Keypoint 0: (x=883.53, y=267.04, confidence=1.00)
  Keypoint 1: (x=884.25, y=361.34, confidence=1.00)
  Keypoint 2: (x=843.44, y=317.94, confidence=1.00)
  Keypoint 3: (x=924.27, y=321.37, confidence=1.00)
  Keypoint 4: (x=813.93, y=361.32, confidence=1.00)
  Keypoint 5: (x=767.72, y=368.65, confidence=1.00)
  Keypoint 6: (x=822.97, y=312.72, confidence=1.00)
  Keypoint 7: (x=928.37, y=368.38, confidence=1.00)
  Keypoint 8: (x=956.71, y=391.35, confidence=0.99)
  Keypoint 9: (x=962.47, y=304.30, confidence=1.00)
Frame 8, Person 2:
  Keypoint 0: (x=589.83, y=274.53, confidence=1.00)
  Keypoint 1: (x=596.22, y=374.15, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.14, confidence=1.00)
  Keypoint 3: (x=634.76, y=318.50, confidence=1.00)
  Keypoint 4: (x=518.12, y=374.99, confidence=1.00)
  Keypoint 5: (x=437.34, y=394.44, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.25, y=380.10, confidence=1.00)
  Keypoint 8: (x=707.22, y=359.33, confidence=1.00)
  Keypoint 9: (x=673.88, y=269.94, confidence=1.00)
Frame 8, Person 3:
  Keypoint 0: (x=1227.79, y=241.55, confidence=0.99)
  Keypoint 1: (x=1223.02, y=325.36, confidence=1.00)
  Keypoint 2: (x=1183.06, y=283.76, confidence=1.00)
  Keypoint 3: (x=1262.55, y=296.22, confidence=0.99)
  Keypoint 4: (x=1132.65, y=320.46, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.81, y=339.79, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 9, Person 0:
  Keypoint 0: (x=181.09, y=273.97, confidence=1.00)
  Keypoint 1: (x=193.38, y=372.96, confidence=1.00)
  Keypoint 2: (x=151.30, y=337.77, confidence=1.00)
  Keypoint 3: (x=228.73, y=323.16, confidence=1.00)
  Keypoint 4: (x=147.71, y=384.66, confidence=1.00)
